Cities,Country,Date,Latitude,Longitude,Temp,Humidity,Windspeed,Cloudiness
atuona,PF,1612982155,-9.8,-139.0333,79.38,75,16.89,1
hofn,IS,1612982156,64.2539,-15.2082,28.4,93,12.21,40
coahuayana,MX,1612982156,18.7333,-103.6833,78.8,53,6.67,1
naze,JP,1612982156,28.3667,129.4833,58.86,66,14.03,100
thompson,CA,1612982047,55.7435,-97.8558,-23.8,69,4.61,75
hanzhong,CN,1612982156,33.0728,107.0303,50.31,54,0.6,100
vao,NC,1612982156,-22.6667,167.4833,76.28,82,9.19,12
tuktoyaktuk,CA,1612982156,69.4541,-133.0374,-31.0,75,12.66,1
port moresby,PG,1612982157,-9.4431,147.1797,75.2,94,5.75,20
butaritari,KI,1612982157,3.0707,172.7902,81.32,76,15.26,100
beringovskiy,RU,1612982157,63.05,179.3167,-20.56,87,12.35,12
kaitangata,NZ,1612982157,-46.2817,169.8464,55.99,54,11.01,69
sola,VU,1612982157,-13.8833,167.55,81.86,76,13.91,0
adre,TD,1612982157,13.4667,22.2,62.51,41,3.49,0
albany,US,1612982157,42.6001,-73.9662,28.99,46,4.0,100
lavrentiya,RU,1612982158,65.5833,-171.0,-26.37,79,9.55,0
hilo,US,1612982158,19.7297,-155.09,66.2,68,5.75,20
elizabeth city,US,1612982158,36.2946,-76.2511,48.2,61,10.36,90
ribeira grande,PT,1612982158,38.5167,-28.7,57.2,82,31.07,40
rocha,UY,1612982158,-34.4833,-54.3333,77.14,67,12.15,0
bilma,NE,1612982159,18.6853,12.9164,73.62,17,7.74,0
perth,AU,1612981939,-31.9333,115.8333,61.0,72,11.5,0
yar-sale,RU,1612982159,66.8333,70.8333,-22.7,85,14.12,100
la ronge,CA,1612982159,55.1001,-105.2842,-22.0,63,2.3,100
urubicha,BO,1612982159,-15.3833,-62.95,86.07,48,3.74,100
ocos,GT,1612982160,14.5094,-92.1933,89.6,48,8.05,20
boden,SE,1612982160,65.8252,21.6886,-0.4,92,2.3,0
taltal,CL,1612982160,-25.4,-70.4833,68.77,66,5.86,51
isangel,VU,1612982160,-19.55,169.2667,78.62,83,7.78,100
egvekinot,RU,1612982161,66.3167,-179.1667,-27.02,81,14.25,6
itaituba,BR,1612982161,-4.2761,-55.9836,82.4,78,6.91,90
klaksvik,FO,1612982162,62.2266,-6.589,24.8,80,1.14,33
ponta do sol,PT,1612982162,32.6667,-17.1,61.0,81,1.99,73
iqaluit,CA,1612982162,63.7506,-68.5145,12.2,79,2.3,75
kahului,US,1612982162,20.8947,-156.47,71.6,68,11.5,40
bambous virieux,MU,1612982162,-20.3428,57.7575,80.6,74,11.5,40
saskylakh,RU,1612982163,71.9167,114.0833,-21.01,84,9.31,0
kavieng,PG,1612982163,-2.5744,150.7967,82.49,76,9.62,24
jamestown,US,1612982092,42.097,-79.2353,24.01,63,5.75,1
rio grande,BR,1612982114,-32.035,-52.0986,75.2,78,12.66,75
kapaa,US,1612982163,22.0752,-159.319,69.8,56,10.36,40
vanavara,RU,1612982163,60.34,102.2797,-11.97,89,3.49,48
energeticheskiy,KZ,1612982164,43.4278,77.0222,30.2,100,4.47,90
geraldton,AU,1612982164,-28.7667,114.6,60.8,72,13.8,0
fairbanks,US,1612981932,64.8378,-147.7164,-5.8,64,3.38,90
mahebourg,MU,1612982164,-20.4081,57.7,80.6,74,11.5,40
souillac,MU,1612982165,-20.5167,57.5167,80.6,74,11.5,40
saint george,US,1612982087,37.1041,-113.5841,59.0,40,2.71,1
leningradskiy,RU,1612982165,69.3833,178.4167,-28.48,83,10.47,6
skelleftea,SE,1612982165,64.7507,20.9528,3.99,84,6.91,0
kieta,PG,1612982165,-6.2167,155.6333,79.5,85,9.42,89
codrington,AU,1612982166,-38.2667,141.9667,66.04,65,7.76,100
ihosy,MG,1612982166,-22.4,46.1167,66.38,91,11.05,100
georgetown,MY,1612982166,5.4112,100.3354,82.4,78,2.3,20
scarborough,GB,1612982166,54.2797,-0.4044,33.01,59,7.0,86
puerto escondido,MX,1612982166,15.85,-97.0667,86.0,74,8.05,20
walvis bay,NA,1612982003,-22.9575,14.5053,68.0,82,9.22,80
malmo,SE,1612982167,55.6059,13.0007,27.0,63,19.57,20
chapais,CA,1612982167,49.7834,-74.8492,6.8,66,6.91,90
muros,ES,1612982167,42.7762,-9.0603,54.0,83,1.99,100
luderitz,NA,1612982168,-26.6481,15.1594,71.15,69,7.61,8
kalmunai,LK,1612982168,7.4167,81.8167,72.45,76,7.31,79
vostok,RU,1612982169,46.4856,135.8833,-4.18,92,4.36,82
ostrovnoy,RU,1612982169,68.0531,39.5131,7.9,93,17.81,48
marystown,CA,1612982169,47.1666,-55.1483,25.97,89,23.06,21
vardo,NO,1612982170,70.3705,31.1107,21.2,68,27.63,40
port alfred,ZA,1612982170,-33.5906,26.891,73.99,92,1.99,16
hastings,GB,1612982170,50.8552,0.5729,30.99,83,3.0,83
mathbaria,BD,1612982170,22.2876,89.9593,61.57,54,3.27,0
sisimiut,GL,1612982170,66.9395,-53.6735,15.22,84,5.44,0
myitkyina,MM,1612982171,25.3833,97.4,59.16,56,2.57,27
nouadhibou,MR,1612982171,20.931,-17.0347,69.8,68,17.27,0
cabo san lucas,MX,1612982171,22.8909,-109.9124,77.0,60,11.5,1
mar del plata,AR,1612981975,-38.0023,-57.5575,71.6,73,24.16,40
arcachon,FR,1612982171,44.5875,-1.0519,51.8,93,3.44,90
atar,MR,1612982171,20.5169,-13.0499,87.8,10,11.5,0
nikolskoye,RU,1612982171,59.7035,30.7861,9.0,85,2.24,40
bluff,NZ,1612982172,-46.6,168.3333,53.38,90,34.58,100
arraial do cabo,BR,1612982172,-22.9661,-42.0278,84.2,73,13.8,40
meulaboh,ID,1612982172,4.1363,96.1285,77.11,90,4.52,66
yulara,AU,1612982172,-25.2406,130.9889,86.0,58,6.91,40
yelizovo,RU,1612982172,53.1873,158.3805,21.2,73,6.71,100
san patricio,US,1612982172,28.017,-97.5169,78.8,88,18.41,90
carnarvon,AU,1612982173,-24.8667,113.6333,71.6,94,21.85,0
castro,BR,1612982173,-24.7911,-50.0119,74.43,59,1.57,57
doha,QA,1612981999,25.2867,51.5333,66.2,82,8.05,0
kosh-agach,RU,1612982112,50.0,88.6667,-20.42,73,0.27,0
miyako,JP,1612982173,39.6367,141.9525,29.35,92,5.28,0
san lawrenz,MT,1612982173,36.0553,14.204,63.0,72,10.36,0
sambava,MG,1612982174,-14.2667,50.1667,78.13,83,1.16,100
itoman,JP,1612982174,26.1247,127.6694,64.4,88,14.97,75
camacha,PT,1612982174,33.0833,-16.3333,62.6,94,9.22,75
neepawa,CA,1612982073,50.2289,-99.4664,-16.6,63,13.8,1
labuhan,ID,1612982174,-6.8844,112.2051,77.13,89,5.21,100
chuy,UY,1612982175,-33.6971,-53.4616,76.77,71,12.08,42
coromandel,BR,1612981885,-18.4733,-47.2003,77.92,69,3.94,91
gazojak,TM,1612982176,41.1875,61.4036,37.6,77,12.68,0
upernavik,GL,1612982176,72.7868,-56.1549,2.84,92,12.06,11
springdale,US,1612982038,36.1867,-94.1288,30.0,100,6.91,90
newcastle,AU,1612982176,-32.9272,151.7765,64.0,94,4.29,68
zhigansk,RU,1612982176,66.7697,123.3711,-20.33,85,11.16,0
torbay,CA,1612982115,47.6666,-52.7314,28.0,86,16.11,75
kiruna,SE,1612982177,67.8557,20.2251,15.8,86,1.79,90
gushi,CN,1612982177,34.6425,109.5843,46.76,53,5.91,100
dallas,US,1612981604,32.7668,-96.7836,32.0,86,12.66,90
zalantun,CN,1612982177,48.0,122.7167,11.98,94,2.62,100
east london,ZA,1612982177,-33.0153,27.9116,75.2,88,10.36,20
baraboo,US,1612982177,43.4711,-89.7443,10.99,51,8.05,90
chokurdakh,RU,1612982177,70.6333,147.9167,-11.42,89,9.66,81
gilbues,BR,1612982178,-9.8317,-45.3439,84.42,62,6.78,69
aljezur,PT,1612982178,37.3191,-8.8033,59.0,100,3.0,83
tessalit,ML,1612982178,20.1986,1.0114,76.15,16,9.42,0
sao joao da barra,BR,1612981979,-21.6403,-41.0511,84.2,54,13.8,20
mount isa,AU,1612982178,-20.7333,139.5,82.4,65,9.22,40
cayenne,GF,1612982178,4.9333,-52.3333,77.0,94,3.44,75
biltine,TD,1612982178,14.5333,20.9167,73.09,20,8.97,0
salinopolis,BR,1612982179,-0.6136,-47.3561,80.17,85,8.97,100
sobolevo,RU,1612982179,54.4299,31.8996,-1.08,93,7.2,16
mehamn,NO,1612982179,71.0357,27.8492,23.0,68,25.32,75
laguna,US,1612981930,38.421,-121.4238,57.99,71,5.3,1
sept-iles,CA,1612982042,50.2001,-66.3821,15.01,41,19.57,20
yellowknife,CA,1612982034,62.456,-114.3525,-8.0,70,8.05,20
cerro azul,MX,1612982180,21.2,-97.7333,79.92,69,3.98,22
hithadhoo,MV,1612982180,-0.6,73.0833,82.06,76,11.36,47
luau,AO,1612982180,-10.7073,22.2247,67.53,96,3.58,100
bonavista,CA,1612982180,48.6499,-53.1147,27.0,74,6.91,97
hailey,US,1612982180,43.5196,-114.3153,21.99,38,3.44,1
mount gambier,AU,1612982180,-37.8333,140.7667,64.4,63,6.91,28
vila franca do campo,PT,1612982180,37.7167,-25.4333,62.01,82,21.85,20
orsha,BY,1612982181,54.5153,30.4053,-1.43,93,6.85,36
cape town,ZA,1612982181,-33.9258,18.4232,72.0,78,17.27,0
tocopilla,CL,1612982181,-22.092,-70.1979,73.72,54,4.23,99
norman wells,CA,1612982181,65.282,-126.8329,-34.6,67,6.51,40
pacific grove,US,1612981978,36.6177,-121.9166,57.99,82,9.22,75
ternate,ID,1612982181,0.8,127.4,80.82,81,5.97,100
karonga,MW,1612982182,-9.9333,33.9333,77.59,74,6.13,100
avarua,CK,1612982182,-21.2078,-159.775,82.4,78,4.61,40
agua dulce,MX,1612982182,18.1333,-94.1333,82.4,65,1.88,75
olafsvik,IS,1612982183,64.8945,-23.7142,35.89,85,15.82,100
teseney,ER,1612982183,15.11,36.6575,75.72,46,13.58,0
borovoy,RU,1612982183,55.4333,86.0833,-9.4,70,11.18,40
zeya,RU,1612982183,53.75,127.2667,1.76,92,4.25,100
cap malheureux,MU,1612982183,-19.9842,57.6142,80.01,75,7.0,1
barra do garcas,BR,1612982183,-15.89,-52.2567,91.4,52,3.44,75
alice springs,AU,1612982184,-23.7,133.8833,87.01,58,11.5,22
riyadh,SA,1612982184,24.6877,46.7219,69.8,19,6.91,0
kristiinankaupunki,FI,1612982184,62.2743,21.376,7.84,95,5.68,26
saldanha,ZA,1612982184,-33.0117,17.9442,71.6,64,10.36,0
sawakin,SD,1612982184,19.1059,37.3321,77.34,71,6.87,16
ciudad bolivar,VE,1612982184,8.1222,-63.5497,92.3,33,11.52,60
norsup,VU,1612982185,-16.0667,167.3833,79.54,76,6.46,0
fukue,JP,1612982185,32.6881,128.8419,53.26,49,7.58,100
khatanga,RU,1612982185,71.9667,102.5,-15.65,85,5.68,98
belomorsk,RU,1612982111,64.5232,34.7668,-4.65,91,5.37,0
prescott,US,1612982084,34.54,-112.4685,54.0,34,3.44,90
sitka,US,1612982185,57.0531,-135.33,15.8,57,8.1,1
esperance,AU,1612982186,-33.8667,121.9,59.0,77,8.05,40
labrea,BR,1612982186,-7.2586,-64.7981,90.77,51,3.2,79
cabedelo,BR,1612982186,-6.9811,-34.8339,86.0,70,13.8,75
raga,SS,1612982186,8.4596,25.678,75.85,19,3.71,100
bandiagara,ML,1612982186,14.3501,-3.6104,95.0,10,9.22,1
abay,KZ,1612982186,49.6311,72.8539,-11.2,70,6.71,0
vila,PT,1612982187,42.0304,-8.1588,48.99,87,5.01,100
antalaha,MG,1612982187,-14.9003,50.2788,77.94,85,2.68,100
aitape,PG,1612982187,-3.1374,142.3475,77.85,86,5.01,100
tigil,RU,1612981990,57.8,158.6667,22.1,91,8.25,100
srednekolymsk,RU,1612982187,67.45,153.6833,-10.5,89,1.99,1
nyurba,RU,1612982187,63.2842,118.3319,-11.31,90,4.41,100
teguldet,RU,1612982188,57.3064,88.1667,-7.65,89,7.25,100
balikpapan,ID,1612981997,-1.2675,116.8289,77.09,91,2.98,100
conde,BR,1612982188,-7.2597,-34.9075,86.0,70,13.8,75
kangaatsiaq,GL,1612982188,68.3065,-53.4641,10.2,88,5.93,0
kruisfontein,ZA,1612982188,-34.0033,24.7314,75.0,81,5.99,5
airai,TL,1612982188,-8.9266,125.4092,61.09,100,1.45,100
shetpe,KZ,1612982188,44.1667,52.1167,41.38,70,4.47,0
berettyoujfalu,HU,1612982189,47.2167,21.55,50.0,81,9.22,0
limoges,FR,1612982189,45.75,1.3333,39.99,100,5.75,90
paamiut,GL,1612982189,61.994,-49.6678,22.35,83,3.85,0
victoria,HK,1612982056,22.2855,114.1577,62.01,88,5.82,81
clyde river,CA,1612982189,70.4692,-68.5914,6.8,92,42.57,90
mayo,US,1612982190,38.8876,-76.5119,39.99,60,9.22,1
miraflores,MX,1612982190,19.2167,-98.8083,71.6,28,4.88,20
antofagasta,CL,1612982190,-23.65,-70.4,73.4,56,10.36,0
husavik,IS,1612982190,66.0449,-17.3389,15.8,92,3.44,75
haines junction,CA,1612982190,60.7522,-137.5108,-40.0,67,1.41,0
nome,US,1612982190,64.5011,-165.4064,-11.2,49,7.02,1
coquimbo,CL,1612982138,-29.9533,-71.3436,66.2,72,11.5,75
harbour breton,CA,1612982191,47.4833,-55.7983,26.2,88,23.55,90
saint-georges,GD,1612982000,12.0564,-61.7485,77.0,83,16.11,75
san angelo,US,1612982191,31.4638,-100.437,33.8,86,12.66,90
hovd,MN,1612982191,48.0056,91.6419,12.61,57,10.76,47
porto velho,BR,1612982190,-8.7619,-63.9039,84.2,70,3.44,40
karratha,AU,1612982191,-20.7377,116.8463,86.56,43,13.38,0
obo,CF,1612982192,5.3998,26.4869,78.17,23,4.92,94
korla,CN,1612982192,41.7597,86.1469,35.38,72,12.71,100
shagamu,NG,1612982192,6.8432,3.6478,95.0,74,5.75,20
trinidad,BO,1612982051,-14.8333,-64.9,75.2,88,11.5,90
beisfjord,NO,1612982192,68.3751,17.5988,15.8,92,6.8,75
challans,FR,1612982192,46.8436,-1.8749,32.0,80,10.36,0
aykhal,RU,1612982192,66.0,111.5,-22.04,85,6.04,61
yining,CN,1612982193,29.0361,114.5636,50.95,92,2.44,100
kavaratti,IN,1612982193,10.5669,72.642,81.43,65,9.13,17
tskaltubo,GE,1612982193,42.3254,42.5979,50.0,66,3.44,0
dingle,PH,1612982193,10.9995,122.6711,75.11,88,2.04,44
canico,PT,1612982193,32.6333,-16.85,66.2,77,3.44,75
babynino,RU,1612982193,54.39,35.73,3.2,85,6.71,87
mahon,ES,1612981952,39.8885,4.2658,50.0,81,4.61,0
katangli,RU,1612982194,51.7102,143.2326,14.47,96,15.7,100
nioro,GM,1612982194,13.35,-15.75,93.49,11,5.14,48
saint anthony,US,1612982194,45.0205,-93.218,7.0,51,14.97,1
guerrero negro,MX,1612982194,27.9769,-114.0611,59.76,64,14.92,100
chase,CA,1612982194,50.8165,-119.6857,8.6,61,20.71,95
sao filipe,CV,1612982195,14.8961,-24.4956,72.43,72,12.1,4
aksarka,RU,1612982195,66.5606,67.7975,-25.73,82,2.62,87
provideniya,RU,1612982195,64.3833,-173.3,-15.25,79,14.0,0
vila velha,BR,1612982195,-20.3297,-40.2925,84.2,65,13.8,20
leh,IN,1612982196,34.1667,77.5833,11.93,75,2.55,34
port augusta,AU,1612982196,-32.5,137.7667,78.01,46,5.75,0
marsala,IT,1612982196,37.7966,12.4352,59.0,88,8.05,40
nefteyugansk,RU,1612982196,61.0998,72.6035,-23.8,76,11.18,0
moose factory,CA,1612982196,51.2585,-80.6094,-0.4,71,12.66,90
pekan,MY,1612982123,3.4836,103.3996,77.0,88,4.61,20
faanui,PF,1612982197,-16.4833,-151.75,81.23,67,10.96,0
marawi,PH,1612982197,7.9986,124.2928,75.0,92,1.99,19
khash,IR,1612982197,28.2211,61.2158,51.06,40,5.95,100
ayacucho,PE,1612982197,-13.1583,-74.2239,68.0,56,2.3,75
khalkhal,IR,1612982198,37.6189,48.5258,38.41,68,3.27,100
primero de marzo,PY,1612982198,-25.153,-56.928,87.8,51,4.61,75
thomaston,US,1612982198,32.8882,-84.3266,66.2,72,6.91,75
homer,US,1612982198,59.6425,-151.5483,25.0,86,8.21,75
severo-kurilsk,RU,1612982198,50.6789,156.125,24.69,88,4.09,100
hobyo,SO,1612982199,5.3505,48.5268,77.58,76,20.87,42
novochernorechenskiy,RU,1612982199,56.2669,91.0828,-6.05,90,6.11,100
pangnirtung,CA,1612982199,66.1451,-65.7125,10.4,61,2.3,1
khoy,IR,1612982199,38.5504,44.9535,43.02,61,0.54,24
jumla,NP,1612982199,29.2747,82.1838,36.03,75,4.47,0
harper,LR,1612982199,4.375,-7.7169,80.04,84,7.07,0
san quintin,MX,1612982200,30.4833,-115.95,58.37,62,12.93,6
sangar,RU,1612982200,63.9242,127.4739,-17.61,83,2.8,0
port elizabeth,ZA,1612982200,-33.918,25.5701,75.2,88,6.91,75
praia,CV,1612982200,14.9215,-23.5087,73.4,64,18.41,0
vestmanna,FO,1612982200,62.1564,-7.1664,24.8,80,1.14,0
gurupi,BR,1612982200,-11.7292,-49.0686,84.15,68,3.74,100
pevek,RU,1612982200,69.7008,170.3133,-13.22,70,0.34,0
soyo,AO,1612982201,-6.1349,12.3689,81.23,82,5.84,100
anadyr,RU,1612982201,64.75,177.4833,-11.2,70,2.24,0
port blair,IN,1612982201,11.6667,92.75,76.59,69,9.53,0
mlowo,TZ,1612982201,-9.0,32.9833,61.9,99,1.68,100
nanortalik,GL,1612982202,60.1432,-45.2371,25.48,89,9.13,69
touros,BR,1612982202,-5.1989,-35.4608,86.0,66,19.57,40
la serena,CL,1612982202,-29.9078,-71.2542,66.2,72,11.5,75
portland,US,1612982123,45.5234,-122.6762,41.0,75,0.89,75
avera,US,1612982202,33.194,-82.5271,71.01,73,5.75,90
hidalgotitlan,MX,1612982202,17.7833,-94.6333,82.4,65,1.54,75
ceres,US,1612982202,37.5949,-120.9577,57.99,67,10.36,1
komsomolskiy,UZ,1612982203,40.4272,71.7189,48.2,81,2.3,100
henderson,US,1612982200,36.0397,-114.9819,64.0,23,3.22,1
banda aceh,ID,1612982203,5.5577,95.3222,78.87,80,6.11,3
kunashak,RU,1612982203,55.7032,61.5498,-11.2,70,4.47,0
peleduy,RU,1612982203,59.6289,112.7406,4.87,93,4.59,100
prince rupert,CA,1612982123,54.3161,-130.3201,17.6,57,4.61,1
houma,US,1612982203,29.5958,-90.7195,75.99,88,5.75,90
beitbridge,ZW,1612982204,-22.2167,30.0,80.04,64,10.8,18
sinnamary,GF,1612982204,5.3833,-52.95,78.66,78,11.41,100
fort collins,US,1612982042,40.5853,-105.0844,14.0,85,6.91,90
manadhoo,MV,1612982204,5.7667,73.3833,80.98,66,3.58,11
palm coast,US,1612981971,29.585,-81.2078,78.8,73,11.5,75
robertsport,LR,1612982204,6.7533,-11.3686,80.74,85,13.78,0
port hedland,AU,1612982204,-20.3167,118.5667,80.6,89,6.91,40
setermoen,NO,1612982205,68.861,18.3486,23.0,100,2.3,90
todos santos,MX,1612982205,23.45,-110.2167,68.0,65,10.0,39
alofi,NU,1612982205,-19.0595,-169.9187,77.0,100,3.44,100
constitucion,CL,1612982156,-35.3333,-72.4167,70.65,65,6.93,14
kyshtovka,RU,1612982205,56.555,76.6271,-24.32,85,7.45,0
ivoti,BR,1612982098,-29.5911,-51.1606,89.01,55,10.0,85
port lincoln,AU,1612982206,-34.7333,135.8667,74.52,46,13.6,1
aktas,KZ,1612982206,49.7789,72.9608,-11.2,70,6.71,0
whitianga,NZ,1612982206,-36.8333,175.7,62.01,88,3.0,41
asau,RO,1612982206,46.4333,26.4,39.99,66,0.98,80
perleberg,DE,1612982206,53.0667,11.8667,25.0,68,1.01,0
green river,US,1612982206,41.5286,-109.4662,36.16,75,25.12,0
takoradi,GH,1612982207,4.8845,-1.7554,81.36,83,11.39,43
katsuura,JP,1612982207,35.1333,140.3,48.2,66,16.11,20
kadaya,RU,1612982207,50.9327,119.2911,0.36,94,1.88,100
grand gaube,MU,1612982207,-20.0064,57.6608,80.01,75,7.0,1
brufut,GM,1612982207,13.3814,-16.7518,82.4,36,6.91,100
tucupita,VE,1612982207,9.0622,-62.051,84.54,56,6.71,72
kinsale,IE,1612982208,51.7075,-8.5306,37.0,69,14.97,75
ambilobe,MG,1612982208,-13.2,49.05,75.54,90,0.74,100
arlit,NE,1612982208,18.7369,7.3853,79.05,13,11.18,44
puerto suarez,BO,1612982208,-18.95,-57.8,87.8,70,9.22,75
kefalos,GR,1612982208,36.7453,26.9589,59.0,77,4.61,20
warri,NG,1612982208,5.5167,5.75,81.86,79,8.21,56
samarai,PG,1612982208,-10.6167,150.6667,81.63,78,10.09,100
roebourne,AU,1612982209,-20.7833,117.1333,86.07,49,10.29,0
longyearbyen,SJ,1612982209,78.2186,15.6401,10.4,79,20.71,75
namatanai,PG,1612982209,-3.6667,152.4333,79.61,81,3.62,98
oyem,GA,1612982209,1.5995,11.5793,74.17,79,3.31,100
karatau,KZ,1612982210,43.1667,70.4667,36.46,91,4.14,100
bella union,UY,1612982210,-30.2752,-57.6007,85.46,44,4.74,93
bambanglipuro,ID,1612982210,-7.95,110.2833,76.87,87,3.22,79
choya,RU,1612982210,52.0108,86.5467,-6.97,89,4.43,100
sao jose de ribamar,BR,1612982210,-2.5619,-44.0542,84.2,79,14.97,75
najran,SA,1612982211,17.4924,44.1277,62.6,51,4.61,0
ilulissat,GL,1612982211,69.2167,-51.1,17.6,35,3.44,1
fortuna,US,1612982211,40.5982,-124.1573,51.01,93,3.98,1
yeppoon,AU,1612982211,-23.1333,150.7333,73.4,78,5.75,75
taoudenni,ML,1612982211,22.6783,-3.9836,72.93,17,10.2,0
morros,BR,1612982211,-9.4467,-46.3003,85.41,56,3.89,35
lazaro cardenas,MX,1612982212,17.9583,-102.2,81.09,59,8.7,0
mazara del vallo,IT,1612982212,37.6641,12.588,59.0,88,8.05,40
cairns,AU,1612982212,-16.9167,145.7667,77.0,94,6.91,75
tafalla,ES,1612982212,42.5269,-1.6745,50.0,81,4.61,75
naples,IT,1612982212,40.8333,14.25,57.2,94,11.5,75
liverpool,GB,1612982024,53.4106,-2.9779,32.0,74,9.22,20
moree,AU,1612982113,-29.4667,149.85,68.0,68,11.5,0
carmo do paranaiba,BR,1612982213,-19.0008,-46.3161,80.01,67,1.01,55
genhe,CN,1612982213,50.7833,121.5167,4.53,92,1.86,100
coffs harbour,AU,1612981914,-30.3,153.1333,62.6,94,1.14,90
pisco,PE,1612982069,-13.7,-76.2167,77.0,73,11.5,20
thamaga,BW,1612982213,-24.6701,25.5397,77.0,69,3.44,0
college,US,1612981974,64.8569,-147.8028,-5.8,65,3.69,75
oktyabrskiy,RU,1612982213,54.4815,53.471,-3.46,91,4.65,100
eureka,US,1612982119,40.8021,-124.1637,51.01,93,3.11,1
acurenam,GQ,1612982214,1.0322,10.6488,71.53,93,2.44,100
karmala,IN,1612982214,18.4167,75.2,71.38,20,6.49,5
porto novo,BJ,1612982214,6.4965,2.6036,86.0,84,13.8,20
kidal,ML,1612982214,18.4411,1.4078,75.78,16,5.23,0
rundu,NA,1612982214,-17.9333,19.7667,67.64,95,7.83,100
cockburn town,TC,1612982170,21.4612,-71.1419,80.6,65,11.5,40
nchelenge,ZM,1612982215,-9.3451,28.734,72.91,79,5.3,100
magaria,NE,1612982215,12.9983,8.9099,75.79,15,8.68,0
belyy yar,RU,1612982215,53.6039,91.3903,3.2,51,11.18,0
san miguel,SV,1612982215,13.4833,-88.1833,95.0,43,5.75,0
babushkin,RU,1612982215,51.7122,105.8647,14.04,94,10.85,100
hefei,CN,1612982125,31.8639,117.2808,48.99,81,6.71,100
coolum beach,AU,1612982171,-26.5333,153.1,68.0,93,1.99,94
manggar,ID,1612982215,-2.8833,108.2667,78.58,88,8.25,100
daru,PG,1612982216,-9.0763,143.2092,77.85,90,4.47,100
mount barker,AU,1612982216,-35.0667,138.8667,75.0,45,7.14,4
mizdah,LY,1612982216,31.4451,12.9801,63.88,27,7.7,0
oistins,BB,1612982130,13.0667,-59.5333,84.2,54,23.02,40
douentza,ML,1612982216,14.9951,-2.9517,81.88,14,6.98,0
kapit,MY,1612982217,2.0167,112.9333,75.51,94,0.87,100
port hardy,CA,1612982217,50.6996,-127.4199,32.0,74,3.44,75
markivka,UA,1612982217,49.5229,39.5705,37.06,98,9.1,100
vilhena,BR,1612982217,-12.7406,-60.1458,78.8,78,8.05,75
johnson city,US,1612982152,36.3134,-82.3535,63.0,48,5.19,40
hamilton,US,1612982047,39.1834,-84.5333,23.0,86,9.22,90
